PDBID	Resolution
3rry	1.6
1aou	No resolution data available
3zrk	2.37
4xj0	2.58
6x8f	2.15
6o8b	3.4
3efk	2.2
4cfx	3.5
5nzz	2.6
8gub	2.73
8aco	2.65
3tnw	2.0
6mcq	2.57
1dtw	2.7
8ts9	2.83
6ypn	1.58
3owl	2.1
6pmc	2.19
8p5k	2.209
3tg1	2.71
4qtb	1.4
6kku	3.5
3zc6	2.42
3sbw	2.28
2xnb	1.85
3tnq	3.097
2w1e	2.93
8boi	1.63
1wbs	1.8
8jf3	2.84647631109
2clx	1.8
1ian	2.0
8wjy	1.88
7kx6	2.5
8h6t	3.0
5swr	3.31
7kac	1.85
5ctp	2.033
4a9y	2.2
6yne	1.853
4gsb	1.8
5t1h	2.11
8qtj	1.523
6ges	2.07
7nma	1.75
4loo	1.95
4yef	1.72
6hk3	2.35
3q9w	1.7
4lhz	3.2
3vry	2.481
6wto	1.74
5sw8	3.3
3rm6	1.6
8qth	2.198
6r4b	2.15
7qg1	2.07
2vag	1.8
6g54	2.05
5hlp	2.45
5oro	2.12
6mcp	2.5
5dc9	1.56
7nj9	1.4
5vt1	1.9
6usd	1.653
1yhv	1.8
8qtg	1.419
8d6f	2.49
6sdd	1.93
8elr	2.05
2zm1	2.1
7und	3.0
5k4i	1.76
7d8z	3.4
4j95	2.3767
3wf6	2.031
2src	1.5
3que	2.7
7pht	No resolution data available
5ugl	1.861
3pxz	1.7
7mff	3.89
9erx	2.9
6yum	2.75
5ar2	2.44
7zy8	1.85
3zxz	1.8
3u8w	2.15
4rmz	2.2
4v0g	3.0
5lq2	3.4
5nk5	1.329
4iz5	3.19
6lvm	2.53
1q8g	No resolution data available
8pym	2.652
6i5k	2.3
7oqg	1.5
4ll5	2.0
4lhv	1.95
6qa1	1.58
5l3a	1.98
3aqv	2.08
7obs	1.8
5lxd	2.58
3mw1	2.8
8ds6	4.9
2o3d	No resolution data available
5ttu	1.72
1fgk	2.0
8ia5	1.93
5wfr	2.46
3w2c	2.45
3fdn	1.9
5eob	1.75
8c3q	2.32
5p21	1.35
7l26	2.3
6ya6	1.44
6l1z	1.90820949507
3jya	2.1
5oo1	2.0
5kpk	2.4
4dls	1.819
8b0h	3.3
8rpb	2.794
4fuy	2.0
6o95	1.77
5bvd	1.9
7mo7	4.8
7b43	1.87
6l1u	3.37
4rew	4.58
7ak3	2.5
5aag	2.85
3bqr	1.75
7fhs	2.42
4qp4	2.2
6hh1	2.25
6nss	1.97
5ih5	2.25
3hvc	2.1
3qtr	1.85
2n42	No resolution data available
1bbz	1.65
8atl	2.464
8p4f	4.0
6b3w	3.05
8gft	3.8
3q32	2.5
6vgl	1.9
7ujx	2.4
7ndx	2.541
3fz1	1.9
7q4r	1.79
3jzo	1.8
3qbt	2.0
1ad5	2.6
8byq	4.1
5mo4	2.17
3qxp	1.75
5vo6	2.65
5r9n	1.688
3vf8	2.08
5twh	2.5
6zzu	3.5
6tia	2.52
5o13	2.44
1pxn	2.5
3bwf	2.35
7nm1	1.4
2g2h	2.0
4j9h	1.7
2y1k	2.5
5ehl	2.66
5k7m	1.65
6ccy	2.18
6so4	1.51
1xr1	2.1
8j63	3.0005
5eta	2.8
5oy4	3.2
7q7w	1.85
1yi4	2.4
2dwb	2.5
1k4s	3.2
6eip	2.56
5jn5	1.75
6qh6	5.0
5r9h	1.49
5n1v	2.52
5wev	1.854
3rm7	1.85
1u54	2.8
6q8p	3.0
8e1x	2.68
6g8x	1.76
2o5k	3.2
2ivu	2.5
2mqi	No resolution data available
6gr9	2.25
1f3m	2.3
5np5	1.4
6gub	2.52
5k7w	1.65
5vbz	2.2
1qjb	2.0
3lbj	1.5
3exe	1.979
6pxn	1.551
6hwt	1.7
7ozd	1.82
5ipj	2.1
4iza	1.93
4ehv	1.6
4deg	2.0
7bjb	1.8
1jqh	2.1
6stf	2.4
5i0b	3.09
6slg	1.33
5cu3	1.787
7zyd	1.404
3rs3	1.52
5osr	1.57
8dqt	1.31
6q7c	1.049
6hev	1.28
3h30	1.56
3zc5	2.2
2n14	No resolution data available
7e12	2.796
7l1x	1.8
3o8u	2.1
8p04	2.6
5uit	1.84
4y73	2.14
6uiq	2.3
1p0i	2.0
7khg	2.15
5lvn	1.379
1yw2	2.01
7apf	1.95
1uvr	2.81
4fz7	1.75
5r95	1.59
6vpg	2.64
3mk2	1.89
2oic	2.4
4urv	2.58
3uix	2.2
6so2	1.6
2yjd	1.93
3rsl	1.7
8d7o	1.65
3oef	1.6
5cu2	1.705
7ena	4.07
5b0x	2.3
4pms	2.8
6qaw	1.84
3fe7	1.35
5r94	1.45
3pxq	1.9
4tw9	2.4
4a07	1.85
5lpu	2.1
6p69	2.2
3f82	2.5
6fjb	1.85
6vnh	2.4
6zp4	2.9
1gzn	2.5
7fic	2.32
4yzc	2.494
8uvl	2.43
3heg	2.2
6het	1.208
2qcs	2.2
6fj0	1.659
2wid	2.3
4mxo	2.105
6oph	2.4
3q52	1.801
5vcz	1.5
3gcu	2.1
7fht	2.68
1kv2	2.8
6glb	2.0
4mwi	1.7
4m66	2.401
6lu8	3.13
5n9l	1.79
5wr7	2.76
5epc	1.85
7awi	2.3
4zxt	2.0
7ajw	2.8
7nj8	1.8
6hzv	2.46
2r3j	1.65
4ek3	1.34
5fxq	2.3
4z16	2.9
6hk7	3.2
5orr	2.09
3vs0	2.934
6qag	2.07
4li0	3.3
6oqi	2.0
7w5a	3.6
6tls	1.46
7lwb	1.9
7kp6	1.79
1pme	2.0
2p2h	1.95
7ega	4.1
4hgt	1.8
4js8	1.94
2wo6	2.5
7uys	2.15
6rch	1.45
3bv3	2.59
9eo0	2.5
3ig7	1.8
5lxm	2.08
2rgg	1.45
1uu9	1.95
6zvb	2.51
2iw9	2.0
6y8a	1.5
7qe8	2.9
5z57	6.5
5sxe	3.51
3i4b	2.3
7b40	1.76
4bck	2.052
2mfr	No resolution data available
5mmf	1.99
3dk6	2.02
5w4w	1.99
2bts	1.99
4yu2	2.9
5k7u	1.7
5dwr	2.0
4j9d	1.5
8h6e	3.2
6y80	1.24
6rfi	2.31
5kmk	2.24
5tiu	1.49
6una	2.554
4eh7	2.1
2o64	2.44
8qnh	2.001
5mpj	2.14
4dly	1.57
3pvb	3.3
7vv9	1.6
3mv5	2.47
5x3f	3.38
6e4u	3.27
6s1b	1.3
6v6q	2.46
1qpd	2.0
1r0w	2.2
5sx8	3.47
8g13	2.3
2lcf	No resolution data available
6e21	2.0
6s17	1.1
3vbq	1.85
5twg	2.3
5n51	2.118
3rkb	2.0
6slx	1.80004503053
5mod	2.08
5ra0	1.91
5cu6	1.36
5os4	1.88
3say	2.231
8aoc	1.62
5toe	2.301
6mt0	2.2
8q7r	3.71
7b8w	2.8
4yps	2.1012
3r8p	1.8
3o50	2.0
1uu7	1.9
5aep	1.95
8pas	2.7
3fy2	1.8
6fnk	1.049
3uiu	2.903
7b6f	2.05
4deh	2.0
1agp	2.3
6ova	2.5
7dph	1.54
6thw	2.44
5cf6	2.5
6ul8	2.68
6z4z	2.07
7b3t	2.23
8jmz	1.988
6slw	2.0
4qp8	2.446
4l8m	2.1
5r99	1.89
6l1t	3.22
5zan	2.85
4hzr	1.31
6y1j	1.127
7uos	2.9
4b0o	2.35
4dee	2.3
1lfd	2.1
3fxx	1.7
6sno	2.7
8ru8	1.51
3ql8	1.9
5mo8	1.82
8r9b	2.21
6g92	1.99
6g93	1.67
6d5h	1.8
5dmz	2.4
1x80	2.0
8p76	2.0
3dzq	1.75
2bzi	1.9
8omv	4.16
2kmd	No resolution data available
7zpb	2.31
5xy9	2.303
7mob	5.0
2cjm	2.3
4xp3	1.782
4e93	1.84
3kvw	2.28
5tq4	2.3
5ar0	1.9
2mrk	No resolution data available
4dh8	2.3
5aqz	1.65
8ahh	2.037
1p2u	2.0
5w84	2.9
8qzz	3.35
4n4s	2.2
4f0i	2.302
7egi	9.82
1w82	2.2
6glc	1.8
8ahg	1.885
3zsi	2.4
5kmj	2.04
3obg	2.8
5os2	1.92
1r10	3.0
5ulo	2.14
6g3s	2.3
5nk2	1.649
6a1g	2.15
5jq8	1.94
7teu	1.45
3qtx	1.95
3pjc	2.2
3x2w	1.7
1vyw	2.3
5mkr	1.87
7zr0	3.4
4qmt	1.5
6eiv	2.68
7oqs	1.34
4urz	2.24
8dfq	3.96
1gzk	2.3
5kwh	2.12
6hme	1.85
3gcp	2.25
2qoc	1.25
7egj	8.64
6rm5	1.884
4yne	2.0229
4dhy	2.38
5n7v	2.52
6nnv	1.92
5i9u	1.889
6w3c	2.3
3owj	1.85
5o1v	1.723
6oko	2.1
5nad	2.8
4j1r	2.702
6rcg	1.4
7obg	1.8
4eom	2.1
3com	2.2
3eg2	1.8
1rvd	1.9
6q4d	1.07
7r0c	4.73
6vql	2.069
4gk4	2.1
6usi	1.653
5k72	2.22
5r9f	1.986
3o96	2.7
6bvm	1.796
6nec	1.87
1i7w	2.0
3fmm	2.0
5aj2	40.0
2zb0	2.1
2bev	1.8
8idy	3.0
6y4x	1.6
1k8r	3.0
4xw5	1.95
3h0y	2.5
3ad5	2.0
1h01	1.79
3eg3	1.4
1hcl	1.8
6cup	1.833
121p	1.54
5o45	0.99
4e5a	1.87
3qx4	1.92
6ohq	2.694
8p5h	1.941
3at4	2.2
4qpm	2.202
1h07	1.85
6fek	2.3
6frp	1.53
5jej	2.0
3mss	1.95
8pqa	1.65
6n4b	3.0
4yzd	3.102
7jfl	1.68
8dks	2.45
6bwk	2.79
6rki	1.88
2btr	1.85
7akl	2.0
8ezb	8.9
3s2p	2.3
7cga	3.15
5mz3	2.15
3zze	1.87
3lfs	2.4
6y40	1.75
6qzs	1.9
6d22	2.46
8ilr	3.05
7nnd	1.4
4mlh	2.9
4iq6	3.12
4jbo	2.493
1r1w	1.8
1h0v	1.9
2b7a	2.0
4i5h	1.9
6ojf	1.6
6m61	1.82449538629
2rg6	1.72
6gtt	2.25
7oby	2.1
5jem	2.5
8fyh	3.4
2yiw	2.0
8fla	2.63
2xmd	2.3
7axn	1.4
2wig	2.15
1l5r	2.1
2of4	2.7
5a4t	2.15
7f67	3.59
4pmm	2.0
6yaf	9.1
7oov	1.96
1o9u	2.4
5a6o	1.6
3k9l	1.8
1wbt	2.0
3zuv	2.72
3uys	2.3
4xrl	2.554
7cp4	2.5
8p77	1.8
8ssn	2.86
9eq0	3.15
4aw5	2.33
2qob	1.65
5cx9	1.732
3kf7	2.0
4yti	2.52
5oue	2.01
5r9m	1.809
7bo4	2.401
6mm8	1.85
8jba	2.6
5csv	1.375
4n0s	1.7992
1m7n	2.7
2w17	2.15
6c1o	2.29
3qic	2.2
3fmj	2.0
8wan	6.07
5n2d	2.35
8bik	2.5
5tur	2.948
7q4o	2.1
3w10	2.7
7awh	2.3
6o94	1.98
3s95	1.65
3r01	2.6
6ya8	1.79
7a5n	2.3
6vng	2.5
3id8	2.4
8av1	2.15
7b5r	3.8
2jdr	2.3
4jbq	2.3
1qck	No resolution data available
4erk	2.2
5nkc	1.448
6tlf	2.9
5drd	2.13
2gtm	1.9
2qo9	1.55
7mfd	3.66
4y72	2.3
3pe2	1.9
6e2m	2.253
4rll	1.85
7nrl	1.8
4j9f	1.094
4l43	3.0
8v8j	3.35
8p5i	1.829
2zmd	2.88
8tzh	3.9
7qge	2.27
8elx	1.975
4hq6	2.7
5brm	2.651
1buh	2.6
5xj4	2.3
6s1f	3.11
8u8b	3.7
6sq2	1.684
4xne	1.8
4f09	2.4
3mh0	2.0
8dje	2.374
3w55	3.0
2erk	2.4
7n93	2.74
4fux	2.2
6pmb	2.81
6sfk	1.8
2zjw	2.4
7eg8	7.4
6q4j	1.05
7lt3	4.6
1r0z	2.35
6kyq	2.141
6zym	3.4
7or5	1.8
4eqc	2.01
6i2t	5.7
5dlw	1.8
6jut	2.1
8par	2.0
1okz	2.51
7zpc	1.4
6k0j	2.352
8p4d	3.6
521p	2.6
4xrj	1.69
4mta	2.2
3gb2	2.4
6r4c	2.04
6c19	2.12
7a2g	4.1
6r6x	2.05
4d2r	2.1
8rrq	1.6
4rx9	1.75
7czd	1.64
3fea	1.33
7oq9	1.8
4qmm	1.852
2w9f	2.85
3wbl	2.0
4us0	2.17
5jzn	2.85
5zn1	1.05
3gc7	1.8
5ei6	2.01
5x5o	1.868
4c3f	1.72
7syr	3.6
1uv5	2.8
4nm5	2.3
4uwb	2.31
6urn	1.68
8j5x	2.09192247704
4e5b	2.0
1yrp	3.1
3uyo	1.83
2vwy	1.65
8j5w	2.28041464539
1w7h	2.214
7f66	2.76
5wp1	1.4
7z4v	1.644
7opg	1.93
5oyf	1.54
8x23	1.5
2qur	2.5
4zhx	2.99
6yat	2.58
7b7s	2.54
3obj	2.4
8d7p	2.25
6yx5	2.14
4bgh	1.95
7o7k	1.82
7qp7	3.7
6hou	1.8
8y7e	4.66
6zvp	4.0
6vny	2.3
5ra7	1.92
8bx6	1.5
5wjj	1.6
8xn7	2.65
1ol1	2.9
3mvh	2.01
5lwm	1.55
4bcn	2.1
6zcp	2.2
3cd8	2.0
8dns	3.22
5xxy	2.9
8c1d	2.115
5hq0	2.3
7l25	1.85
8fg3	1.49
7yaz	2.54
6c9h	2.65
2r3m	1.7
7k11	3.21
6cpf	2.3
3orz	1.9995
3ifq	2.8
7xvy	1.544
6ots	2.1
1oiy	2.4
3k3i	1.7
2x7f	2.8
4xbr	2.94
4kjg	2.38
7c3q	1.801
6cpe	2.45
7auv	1.76
5l8j	1.68
2wil	3.1
5am7	1.957
7vun	2.701
5dyy	2.65
8pyl	2.93
7bo3	2.2
3qtq	1.8
4ytc	2.16
7bw7	4.1
6vnx	2.18
2qu5	2.95
7b32	1.75
4ury	2.47
5cxh	1.9
6szj	2.53
4loq	2.319
4ka3	2.707
7oq7	1.6
5uhn	2.909
2c6e	2.1
6y44	1.71
4o6e	1.95
5xvg	2.1
6ylk	1.65
6q4g	0.98
7q7l	1.97
6q7d	0.978
7f3g	2.1
4eor	2.2
3ik3	1.9
4zi1	2.1
6hoq	1.55
8am2	2.5
1opk	1.8
7z1f	3.0
5dn3	2.05
7nvr	4.5
5r8w	1.5
7sys	3.5
1rqq	2.6
7ogd	1.95
5r93	1.489
5hyn	2.95
1fq1	3.0
6vph	2.14
6s14	1.05
5o49	1.91
4dlz	1.662
5n4r	2.13
4gii	2.31
8edh	3.111
4wni	2.3
4lg4	2.42
6i0b	2.384
6ted	3.1
7kja	1.75
1u3s	2.5
5x8l	3.1
5n67	1.9
7otw	2.99
5drb	1.65
6f26	1.83
5cvf	1.63
5cxz	1.7
7q3l	2.21
7k1b	4.3
6e4w	3.35
8cgo	2.65
2jgz	2.9
1yxx	2.0
6fhk	1.657
2cl6	1.24
6o8u	1.8
4qte	1.5
2xqg	2.3
2vh5	2.7
4iak	1.6
7qgd	2.3
6d5g	1.92
8fo9	3.48
6g9d	1.8
5omy	1.95
5niu	2.01
5jeo	1.719
8gxs	4.16
3bys	2.2
8g15	2.07
3lfq	2.03
8r4u	2.416
3r21	2.9
5dxt	2.25
7egg	2.77
3goi	2.52
4bex	2.8
4tn6	2.41
3lck	1.7
6ycu	1.35
5wfp	2.08
5ra8	1.78
4u8z	1.63
7d43	4.3
2rfn	2.5
7dhn	2.38
5kx7	2.8
3lpb	2.0
4ase	1.83
5l2w	2.8
6rwi	1.65
6cqd	2.12
8p5l	1.836
8ao3	1.778
4u0i	2.0
7e34	3.19
5etc	2.422
6hdr	2.2
6ff4	3.4
3uo4	2.45
6yph	1.67
6ao5	2.955
2baq	2.8
3rso	1.6
1g83	2.6
4r1y	2.0
5hhw	1.79
4oli	2.8
4lue	3.04
4daw	2.0
5o76	2.473
5omh	2.5
4gj2	2.4
1f5q	2.5
3o51	3.2
8bog	1.47
7nqw	1.775
2oib	2.0
6v9l	1.698
4mxy	2.582
7a5l	2.1
7rxo	1.38
2r3k	1.7
5osj	1.83
4k81	2.4
6ef5	2.44
5cf8	1.8
4ymj	2.0
4zqk	2.45
8au3	2.26
8pqe	2.0
3qam	1.92
7ack	1.8
1ke5	2.2
5r96	1.767
7egb	3.3
7qgb	2.58
7obh	2.0
2vtl	2.0
5jds	1.7
2wma	2.8
8bin	1.5
3hhm	2.8
6npt	2.19
3u6j	2.15
8ouv	1.783
2y1n	1.999
7bdt	1.75
3pyy	1.85
1z57	1.7
6y9r	2.08
3unj	1.9001
8bzo	3.5
2onl	4.0
4asd	2.03
3kxz	2.37
3vf9	2.3
2j0i	1.6
7vkm	2.55
6noj	2.33
6q4i	1.11
4fv6	2.5
4nka	2.19
4ii5	2.15
8bm8	1.68
5h0e	2.1
3wzj	2.75
3fml	2.1
3imx	2.0
5x8m	2.661
4qmw	1.6
4d1s	1.66
5kmi	1.87
3gpd	3.5
6g97	1.9
8rrz	1.75
4ckj	1.65
8br7	2.119
1bg1	2.25
4o0x	2.483
2c1n	2.0
3ow3	1.9
8ans	2.01
1q5k	1.94
1q4l	2.77
4alv	2.59
3oy3	1.95
6qab	2.49
7oq8	1.43
7ayh	2.8
1em6	2.2
3c9w	2.5
1gih	2.8
6rl4	1.6
7ors	1.8
6eij	2.42
6q4f	1.21
4o0w	2.6
3p7c	2.3
8dcp	2.41
3kkm	1.7
3tjd	2.9
3wf9	2.035
7uxo	2.25
5osf	1.89
4j24	2.1
5nkd	1.408
4fij	2.3
2rge	1.4
6db4	1.662
6gu7	2.75
6ohp	2.6
3u9c	3.2
3c4f	2.07
2xix	2.4
3f66	1.4
4ixc	2.0
6eir	2.4
8r9a	1.71
1v4t	3.4
2whb	2.9
5ko1	2.16
3rvg	2.498
2bfe	1.69
1crp	No resolution data available
3a7j	1.5
7ktp	4.8
3nnu	2.4
1yxt	2.0
3qrj	1.82
6q4e	1.06
6vs3	2.0
1wq1	2.5
8sso	1.97
1gii	2.0
4dfn	2.48
6guk	1.3
7onb	3.1
7obx	1.8
4r8q	2.31
1xlw	2.1
8c5q	2.5
4lhy	3.1
2f15	2.0
7nyd	3.27
1ke8	2.0
4dlu	1.6
6guc	2.0
6rn8	2.69
7aka	1.9
6r4d	2.009
3t04	2.1
2xik	1.97
1nh3	3.1
2uzo	2.3
7d45	3.8
2ozl	1.9
4xg8	2.4
5usy	2.0
8aoe	1.687
6vni	2.1
4equ	2.0
1h8f	2.8
2j9f	1.88
4eoo	2.1
8ov7	1.95
4k18	2.051
7bkh	1.4
7nmh	1.4
2xir	1.5
6urc	2.2
5dpv	2.285
3c7q	2.1
4bg6	2.3
6ypg	1.51
3cy3	2.15
6y82	1.44
2wxv	2.6
6bqq	1.8
4eoi	2.0
5uml	3.0
3we8	1.954
8v8v	2.61
8wm0	2.8
4mxc	1.632
5hsh	2.65
3dd1	2.57
6tw2	1.8
2xiy	2.2
7at5	1.77
6pdn	2.4
6hmp	2.039
6e6p	1.93
8jmx	2.95020177482
5r8v	1.479
8sv9	2.3
5c23	2.37
7lhw	3.7
7xbi	2.16
5osu	1.63
7li4	3.1
1fmo	2.2
3vw6	2.4
4mbi	2.3
6pcw	2.2
6p8e	2.3
3nw5	2.14
1r78	2.0
6uya	1.74
4zzn	1.33
6in0	1.501
7kia	2.22
1sc7	3.0
1zyj	2.0
7t78	2.4
3ac3	2.55
3bhv	2.1
2c5l	1.9
7ay9	2.25
6esj	2.97984513804
6ny4	2.33
8gvj	2.71
3o23	2.1
2xa4	2.04
4aoj	2.75
6xrg	No resolution data available
2bzh	1.9
1j2f	2.3
4gub	2.2
7sgl	3.0
7obc	1.9
3p9j	2.8
7obt	2.3
8atn	2.171
3fsf	2.1
1ke9	2.0
5kx8	2.671
6fni	1.468
6ypj	1.64
2uue	2.06
2wh0	2.25
5da3	1.7
6yl1	1.66
3coh	2.7
5h09	1.945
1oir	1.91
5z0s	2.45
7dg4	2.58
7s84	2.0
3iw7	2.4
4nym	3.5529
8u8k	2.1
3qti	2.0
3byo	2.0
6g9n	1.76
4m69	2.497
2dq7	2.8
5eg3	2.606
1o6k	1.7
3dt1	2.8
4dfx	1.35
6hd6	2.3
6zvc	2.51
7cc2	2.723
3iw8	2.0
2y9q	1.55
4j26	2.3
7bjf	1.4
5uoj	2.1
7b5m	3.91
3atu	1.65
2jkt	3.4
3zew	2.5
5orv	1.88
7e73	2.28
1atp	2.2
6eyf	2.6
6hdp	2.3
1p4o	1.5
4af3	2.75
4wbb	2.8
5yv8	1.927
7aip	3.12
3ac5	2.5
2vyr	2.0
5lvp	2.5
8bom	1.12
1j1b	1.8
3bkb	1.78
6hey	1.367
5c26	1.95
5omg	2.0
8h6p	2.44
6fnm	1.157
4e6c	2.39
6l13	2.24
6n8g	2.0
7eg7	6.2
5swp	3.41
5cqu	2.35
6e4t	3.4
2cld	1.22
2x39	1.93
3mh1	2.2
5v19	3.1
6mm7	1.85
8c14	1.93
2hz4	2.8
5tel	2.214
2i0e	2.6
5vd1	1.7
7mo9	4.0
5sxc	3.55
3nay	2.6
6hxf	2.09
2c0o	2.85
7qr9	2.3
3d94	2.3
3o8p	2.1
8rbx	4.1
5j8o	2.3
5a54	2.63
3x2v	1.77
1gnp	2.7
4fv4	2.5
4eoq	2.15
1wfc	2.3
3uoj	2.9003
8osm	2.05
3ac8	2.3
3dbq	2.7
3b8q	2.75
3hll	1.95
8efj	2.31
1xbc	2.0
3cpc	2.4
2bal	2.1
8bgc	2.8
6qdv	3.3
5n66	2.4
5aae	3.11
5lvo	1.09
4xlv	2.3
4aoi	1.9
2vtt	1.68
7djo	2.499
5ar7	2.71
7rx6	1.8
6c1c	2.15
5vcy	1.56
4dtk	1.86
6sde	2.49
6gla	1.92
7a4b	2.06
5oum	2.05
6y7w	1.39
3rpr	1.75
1yi3	2.5
8pqc	1.77
7npb	1.37
5cvg	1.25
6ynd	1.525
1tl8	3.1
7qp6	4.7
8p4c	3.8
1iyf	No resolution data available
4iw0	4.0
1rrj	2.3
7ayf	1.752
8swe	2.24
1l2j	2.95
7ake	2.3
3uyt	2.0
3hmp	2.3
3rah	1.75
4f08	2.82
2rgc	1.6
7thz	5.0
6hk4	2.5
5ouu	1.81
1uu3	1.7
4nm0	2.5
5kmm	2.12
3ma3	2.3
4eev	1.8
7dt2	2.3
4md8	3.3
4qms	1.883
3r8v	1.9
3kxx	3.2
1xws	1.8
7kie	2.47
6so1	1.66
5c27	2.15
5ano	1.7
7q7i	1.78
6y8e	1.42
7b5l	3.8
8tbg	1.2
221p	2.3
4fv2	2.0
6r8j	1.75
5z56	5.1
8acm	2.14
4zeg	2.33
7biq	1.2
5ra9	1.68
7vdu	1.53
6vnj	1.9
5ort	2.56
3ckx	2.7
7t79	2.4
6y7y	1.51
7qfm	1.95
3l8v	2.4
2qd9	1.7
7nj0	3.6
5v61	2.2
7oox	1.97
2vtj	2.2
3nax	1.75
5sxi	3.4
5nkf	1.099
6ne7	1.99
7kpm	1.608
7s46	2.1
5n4u	2.202
7b3q	1.75
3iph	2.1
5vee	2.5
7pvq	1.55
5obr	2.62
6t6a	2.8
1nvv	2.18
6xih	2.65
3ccn	1.9
7ndl	2.223
8c3r	2.06
3k8y	1.3
7m0k	2.01
3nnx	2.28
6y5v	4.08
4rrv	1.412
7pg6	2.49943744477
6rir	1.767
3rs4	1.7
5wal	2.45
2xru	2.9
6qy7	2.1
6fxv	1.53
7az1	1.15
2g9x	2.5
6f3d	2.38
4rsg	1.907
7nsv	1.33
7nrk	1.75
8tgd	2.928
8vjb	3.6
8tsd	2.7
6ytd	2.0
7qe9	2.1
7uyu	2.05
6umw	1.982
5i9x	1.427
4wnm	2.5
7njb	1.4
6opk	2.54
7s85	1.98
7enc	4.13
1q3w	2.3
4myg	2.594
4qfs	3.55
3ow4	2.6
4g6o	2.2
2r3l	1.65
6gdm	1.91
4tyh	3.0
4lm5	2.25
5w7t	2.01
1mq4	1.9
4o0y	2.2
3hp5	2.3
7aiy	2.937
2wkm	2.2
6ttp	2.0
3sd0	2.7
4l46	3.01
8fe5	2.51
3vrz	2.218
5l0b	2.41
6us7	1.653
4ez3	2.0
2z7l	2.41
7nig	1.9
4ib0	1.87
8dwn	2.15
6xag	3.3
4fks	1.55
2fsz	2.2
1gz8	1.3
5csp	1.5
7b42	1.8
7z6i	2.25
4xyf	1.85
6dkb	2.68
4ek8	1.7
5o12	2.4
6ypk	1.79
7dhk	2.341
8els	2.267
4fii	2.0
5odt	2.021
4nct	2.597
4f9w	2.0
3qqg	1.9
4ekl	2.0
4cfw	2.45
5jel	1.6
6vov	1.95
5owl	2.23
5o4y	2.3
1fa9	2.4
8auz	2.66
3zcl	1.4
7uxi	2.07
1aq1	2.0
4bbe	1.9
1xoi	2.1
3w1f	2.7
6tlr	1.64
6h0u	2.3
6bx6	2.9
8u8j	2.1
2hjw	2.5
6fle	1.48
7cmb	2.592
8h3s	4.9
4z7h	2.9
6yk7	1.9
4j9c	1.051
7bg3	1.4
5mmr	2.0
4nyi	2.9612
6wly	1.9
2wqe	2.5
6h03	5.6
2lwi	No resolution data available
3fls	2.3
4ceg	2.1
7uyw	2.51
5lar	1.5
5y5u	2.14
7bdo	2.7
4bf2	2.11
7nqp	1.24
3at2	1.6
7jih	1.989
6yte	2.3
4ib5	2.2
7jhg	3.47
4yjr	1.32
5s9m	1.8
5zn4	1.651
6ff7	4.5
6b4w	2.9
6zmk	2.382
8g17	1.98
4lhx	3.05
5t1s	2.3
6rk8	1.602
1pjk	2.5
2hyy	2.4
8fow	1.6
7tti	3.5
3bu3	1.65
3djy	2.1
2uv2	2.3
7x4h	1.77
4i41	2.7
3unz	2.8
2xr9	2.05
4xbu	2.06
5yzg	4.1
7xad	3.0
1olx	2.25
8elv	2.153
4qmz	1.88
5fwl	9.0
2xj0	3.1
5t1t	2.34
4kba	1.98
6ege	1.401
2o88	1.75
7q0s	4.0
3a7g	2.0
6fvg	1.6
2bzk	2.45
2xne	2.8
4b7t	2.772
4fv3	2.2
6vre	2.29
4jbp	2.45
5vin	2.60004291837
7nk3	1.4
3idc	2.7
3d2f	2.3
5r97	1.438
5fur	8.5
6l21	2.05451776886
5a4q	2.37
7xsv	2.66
8ao7	1.61
5bve	2.0
5i9y	1.228
5mo6	1.825
6drw	2.303
7zh8	2.3
8au5	2.72
2xmb	2.1
1ouy	2.5
8bzi	1.72
1xjl	2.59
4hnf	2.07
6b16	2.285
8jn9	2.724
3rk5	2.0
3p5k	2.09
6ssb	2.08
8bvw	4.0
7khj	2.8
4aot	2.33
7sa0	1.59
3mb6	1.75
1o6l	1.6
3zhp	2.9
1jsu	2.3
4jjd	1.6
4as0	2.3
8ao2	1.796
4cv8	3.0
5cu0	2.18
4k11	2.3
3rjc	1.85
5hor	2.2
3uvq	2.2
1p0q	2.43
5jek	2.4
6cqe	1.886
7d9v	2.21
4iva	1.5
4j97	2.5482
5vnd	2.2
5ots	1.9
5ose	1.9
4aqc	1.9
7egd	6.75
3r8l	1.9
8aau	1.74
4fv7	1.9
8pau	2.8
5sxk	3.55
6ra7	1.2
3cly	2.0
6amv	No resolution data available
2ce2	1.0
2wtv	2.4
3dkg	1.91
2xvd	1.7
8vq3	1.84
2n04	No resolution data available
4twc	1.7
5h0b	1.651
5toz	1.98
5xyx	2.61
1ity	No resolution data available
8fe9	3.2
5ghv	2.8
5sxf	3.46
8c1i	2.81
2wgj	2.0
5bn9	1.689
1p5e	2.22
6rfp	1.74
1r0x	2.2
3kq7	1.8
5aqy	1.56
5osz	2.0
6ru6	2.05
6sfj	1.95
3up7	3.05
6gva	2.15
5n5m	2.21
7nzy	1.85
4iaf	2.2
4bid	2.8
6o81	3.21
3nus	2.75
8elz	1.961
6xvk	1.99
5hd7	1.69
3fmh	1.9
8bpv	1.7
5t68	2.93
1ni4	1.95
3q9z	2.2
3qkm	2.2
6hue	2.85
6s9q	1.69
3hmn	2.7
6mzw	2.2
